country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
EST,ECS,HighIncome,yes,yes,yes,no,1315407.0,473000.0,3.6,24.74,18099.86
ETH,SSF,LowIncome,no,yes,yes,no,99873033.0,6532786.97,0.0,0.0,524.14
FIN,ECS,HighIncome,yes,yes,yes,yes,5479531.0,2738000.0,12.45,28.12,46115.67
FJI,EAS,MiddleUpperIncome,no,yes,yes,yes,867086.0,189389.59399999998,0.0,5.45,4349.24
FRA,ECS,HighIncome,no,yes,yes,yes,66624068.0,33399000.0,17.26,22.26,42117.46
FRO,ECS,HighIncome,no,no,yes,no,48842.0,61000.0,0.0,67.0,35895.51301587302
FSM,EAS,LowMiddleIncome,no,yes,yes,no,104937.0,26039.57,0.0,0.0,2823.43
GAB,SSF,MiddleUpperIncome,no,no,no,yes,1086137.0,238102.31,0.0,0.0,17412.6
GBR,ECS,HighIncome,yes,yes,yes,no,65128861.0,31567000.0,16.23,27.25,42340.99
GEO,ECS,LowMiddleIncome,no,no,yes,no,3717100.0,800000.0,0.0,0.0,4086.42
GHA,SSF,LowMiddleIncome,no,yes,yes,yes,21542009.0,3538274.97825,0.0,0.0,2237.45
GIB,ECS,HighIncome,no,yes,yes,yes,33623.0,16954.0,0.0,0.0,35895.51301587302
GIN,SSF,LowIncome,no,no,yes,yes,8132552.0,596911.0,0.0,5.0,1188.77
GMB,SSF,LowIncome,no,yes,yes,no,1311349.0,193440.54,0.0,0.0,826.87
GNB,SSF,LowIncome,no,no,no,no,1770526.0,289514.0,0.0,0.0,600.1
GNQ,SSF,MiddleUpperIncome,no,no,no,no,1221490.0,198443.06,0.0,0.0,12317.71
GRC,ECS,HighIncome,no,yes,yes,yes,10892413.0,5477424.0,0.0,19.0,22445.07
GRD,LCN,MiddleUpperIncome,yes,yes,yes,yes,105481.0,29536.113936927773,0.2,0.0,8827.36
GRL,ECS,HighIncome,no,no,yes,no,56905.0,50000.0,0.0,0.0,49620.14
GTM,LCN,MiddleUpperIncome,no,no,no,yes,16252429.0,2756740.97135,0.0,0.0,3163.95
GUM,EAS,HighIncome,no,yes,yes,yes,159973.0,141500.0,0.0,17.85,32598.72
GUY,LCN,MiddleUpperIncome,no,yes,no,no,746556.0,179251.5,0.0,0.54,3919.1
HKG,EAS,HighIncome,yes,yes,yes,yes,7305700.0,5679816.465,0.0,34.0,36971.87
HND,LCN,LowMiddleIncome,no,no,yes,yes,9112867.0,2162027.69575,0.0,0.0,2144.87
HRV,ECS,HighIncome,yes,yes,yes,yes,4203604.0,1654000.0,1.69,16.32,14534.02
HTI,LCN,LowIncome,no,no,no,no,10847334.0,2309852.45485,0.0,0.0,729.36
HUN,ECS,HighIncome,yes,yes,yes,yes,9843028.0,3712000.0,6.22,25.94,14953.01
IDN,EAS,LowMiddleIncome,no,yes,yes,yes,261115456.0,65200000.0,0.0,7.0,3974.73
IMN,ECS,HighIncome,yes,yes,yes,no,80759.0,50551.0,0.0,50.0,35895.51301587302
IND,SAS,LowMiddleIncome,no,yes,yes,yes,1071477855.0,168403239.95,18.0,5.0,2301.66
IRL,ECS,HighIncome,no,yes,yes,yes,4586897.0,2692537.0,6.0,33.0,72458.87
IRN,MEA,MiddleUpperIncome,no,yes,yes,yes,80277428.0,17885000.0,12.0,5.0,6733.91
IRQ,MEA,MiddleUpperIncome,no,no,no,no,36115649.0,13140000.0,0.0,0.0,5923.68
