country_code,region_id,income_id,compo_organic,compo_glass,compo_metal,compo_other,compo_paper_cardboard,compo_plastic,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
DMA,LCN,MiddleUpperIncome,45.0,8.0,5.0,14.0,12.0,16.0,yes,yes,yes,no,72400.0,13176.0,0.0,0.0,6989.25
DNK,ECS,HighIncome,12.78,5.78,6.29,23.86,11.57,1.61,yes,yes,yes,yes,5683483.0,4485000.0,18.99,27.27,61145.56
DOM,LCN,MiddleUpperIncome,51.0,6.0,3.0,10.0,16.0,10.0,no,yes,no,no,10528394.0,4063910.0,0.0,8.2,6996.71
DZA,MEA,MiddleUpperIncome,54.4,1.2,2.8,0.8,9.8,16.9,yes,yes,yes,no,40606052.0,12378740.0,1.0,8.0,4827.72
ECU,LCN,MiddleUpperIncome,58.67,3.01,1.53,13.78,10.25,11.44,yes,yes,no,yes,16144368.0,5297211.142533937,0.0,12.9,5268.49
EGY,MEA,LowMiddleIncome,56.0,4.0,2.0,15.0,10.0,13.0,yes,yes,no,yes,87813257.0,21000000.0,7.0,12.5,2970.12
ESP,ECS,HighIncome,49.0,8.0,3.0,14.0,15.0,9.0,no,yes,yes,yes,46447697.0,20151000.0,16.45,16.84,31530.28
EST,ECS,HighIncome,36.7,8.3,2.6,15.9,17.5,18.6,yes,yes,yes,no,1315407.0,473000.0,3.6,24.74,18099.86
ETH,SSF,LowIncome,87.6,0.8,1.2,4.4,3.8,2.3,no,yes,yes,no,99873033.0,6532786.97,0.0,0.0,524.14
FIN,ECS,HighIncome,35.88,9.24,1.7,13.13,37.83,1.45,yes,yes,yes,yes,5479531.0,2738000.0,12.45,28.12,46115.67
FJI,EAS,MiddleUpperIncome,33.2,4.1,1.9,3.5,12.5,7.5,no,yes,yes,yes,867086.0,189389.59399999998,0.0,5.45,4349.24
FRA,ECS,HighIncome,32.0,10.0,3.0,26.0,20.0,9.0,no,yes,yes,yes,66624068.0,33399000.0,17.26,22.26,42117.46
FSM,EAS,LowMiddleIncome,23.83,7.07,16.73,9.32,13.3,26.17,no,yes,yes,no,104937.0,26039.57,0.0,0.0,2823.43
GBR,ECS,HighIncome,16.7,2.2,3.5,28.2,18.9,20.2,yes,yes,yes,no,65128861.0,31567000.0,16.23,27.25,42340.99
GEO,ECS,LowMiddleIncome,39.0,3.0,5.0,16.0,34.0,3.0,no,no,yes,no,3717100.0,800000.0,0.0,0.0,4086.42
GHA,SSF,LowMiddleIncome,67.0,0.0,1.0,25.0,3.0,4.0,no,yes,yes,yes,21542009.0,3538274.97825,0.0,0.0,2237.45
GIB,ECS,HighIncome,24.57,4.42,4.37,14.38,33.65,15.86,no,yes,yes,yes,33623.0,16954.0,0.0,0.0,35895.51301587302
GIN,SSF,LowIncome,58.0,1.0,1.0,27.0,9.0,4.0,no,no,yes,yes,8132552.0,596911.0,0.0,5.0,1188.77
GRC,ECS,HighIncome,40.0,3.0,3.0,9.0,29.0,14.0,no,yes,yes,yes,10892413.0,5477424.0,0.0,19.0,22445.07
GRD,LCN,MiddleUpperIncome,27.1,3.1,2.4,36.5,13.6,16.4,yes,yes,yes,yes,105481.0,29536.113936927773,0.2,0.0,8827.36
GRL,ECS,HighIncome,42.8,7.1,2.0,33.4,11.4,2.4,no,no,yes,no,56905.0,50000.0,0.0,0.0,49620.14
GUM,EAS,HighIncome,27.3,4.6,9.0,8.7,28.5,12.4,no,yes,yes,yes,159973.0,141500.0,0.0,17.85,32598.72
GUY,LCN,MiddleUpperIncome,50.1,4.7,4.2,12.099999999999998,10.7,14.2,no,yes,no,no,746556.0,179251.5,0.0,0.54,3919.1
HKG,EAS,HighIncome,35.0,3.0,2.0,14.0,22.0,21.0,yes,yes,yes,yes,7305700.0,5679816.465,0.0,34.0,36971.87
HND,LCN,LowMiddleIncome,57.9,1.27,2.11,6.62,17.36,14.41,no,no,yes,yes,9112867.0,2162027.69575,0.0,0.0,2144.87
HRV,ECS,HighIncome,30.9,3.7,2.1,11.5,23.2,22.9,yes,yes,yes,yes,4203604.0,1654000.0,1.69,16.32,14534.02
HTI,LCN,LowIncome,61.3,1.6,2.5,16.800000000000008,4.1,12.7,no,no,no,no,10847334.0,2309852.45485,0.0,0.0,729.36
HUN,ECS,HighIncome,22.5,3.5,1.8,45.9,13.4,13.0,yes,yes,yes,yes,9843028.0,3712000.0,6.22,25.94,14953.01
IDN,EAS,LowMiddleIncome,53.8,2.5,1.8,12.9,14.9,14.0,no,yes,yes,yes,261115456.0,65200000.0,0.0,7.0,3974.73
IRL,ECS,HighIncome,16.6,8.5,3.7,25.8,25.0,12.4,no,yes,yes,yes,4586897.0,2692537.0,6.0,33.0,72458.87
IRN,MEA,MiddleUpperIncome,72.9,1.9,2.3,5.0,7.3,8.5,no,yes,yes,yes,80277428.0,17885000.0,12.0,5.0,6733.91
