info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,compost_percent,recycling_percent,WasteLog,PopLog,gdp_inhab_log,region,income
0,1,1,1,0.0,11.0,6.7512184211619095,11.544307846198897,10.488395439281826,2,0
0,1,1,1,0.0,0.0,5.096262380063693,17.36098238099847,6.427927550915635,5,1
0,0,1,1,0.0,0.0,5.129306823813755,17.03822504572967,8.320423764987128,6,2
0,1,1,1,0.0,0.0,5.985873948794737,14.873545266684898,8.450480575312653,1,3
0,1,1,1,0.0,0.0,6.258912023978716,11.31972899002397,10.603502595247962,1,0
1,1,0,1,9.0,20.0,6.371611847231857,16.04225218909777,10.632259565736476,3,0
1,0,1,1,0.0,6.0,6.03476347150313,17.576280720776225,9.250797820057459,2,0
0,0,1,0,0.0,0.0,5.139145769652782,14.882364169773394,8.283676019674466,1,3
0,1,0,0,0.0,0.0,5.836388439204223,10.925938480238674,9.171128538783474,0,3
0,1,1,0,0.08,0.0,5.75902794888218,11.480174974707035,9.539101525898536,2,0
1,1,1,1,0.0,42.1,6.331448467685968,16.984748097109613,10.945880045547918,0,0
0,1,1,0,31.24,25.66,6.330023889921318,15.971122318903772,10.7925152009886,1,0
0,1,1,0,0.0,0.0,5.719262045504587,16.082400284461865,8.68750964108276,1,3
0,0,0,0,0.0,0.0,5.630064170161918,15.72380339344818,5.834108736331776,6,1
0,1,1,0,19.137,34.303000000000004,6.036891920572225,16.23802722130459,10.72962685534046,1,0
0,0,1,1,0.0,25.0,4.830072190317164,15.52420793242058,7.408191115348075,6,1
0,0,1,1,0.0,12.0,4.964242254526545,16.71200934058381,6.528849333059225,6,1
0,1,1,1,5.25,0.0,4.563305981889393,18.863615378935624,6.983178100627997,5,2
1,1,1,1,10.32,19.03,6.041396915856191,15.78653023617249,8.976264783092414,1,3
0,1,1,0,0.0,8.0,6.505709318919628,14.169803066155403,10.01200109218536,3,0
0,1,0,0,0.0,0.0,6.527168132139876,12.865763864779476,10.193929687508597,2,0
0,0,0,1,0.0,0.00097,5.869720552199632,15.07849595607559,8.585688872657935,1,3
1,1,1,1,0.0,16.0,6.1137264266409375,16.065708811499828,8.738419706389912,1,3
1,1,1,0,0.0,0.0,5.646047424004963,12.791882357548072,8.403282897007445,2,3
1,1,1,0,18.3,2.0,7.143988781833901,11.079045450122525,10.488395439281826,4,0
