country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,SpW_construction_waste_tons_year,MSW_generated_tons_year,gdp_inhab
QAT,MEA,HighIncome,yes,yes,yes,no,2109568.0,9706885.0,1000990.016,80899.33
ROU,ECS,MiddleUpperIncome,yes,yes,yes,yes,19815481.0,162995232.0,4895000.0,10104.08
SGP,EAS,HighIncome,yes,yes,yes,yes,5607283.0,1609300.0,7704300.0,53353.84
SRB,ECS,MiddleUpperIncome,yes,yes,yes,yes,7095383.0,46707848.0,1840000.0,5821.82
SVK,ECS,HighIncome,yes,yes,yes,yes,5423801.0,4023409.0,1784000.0,19299.95
SVN,ECS,HighIncome,no,yes,yes,no,2063531.0,2071792.0,926000.0,24478.31
SWE,ECS,HighIncome,yes,yes,yes,no,9799186.0,152012352.0,4377000.0,57187.06
THA,EAS,MiddleUpperIncome,no,yes,yes,yes,68657600.0,1100000.0,26853366.0,5928.18
UKR,ECS,LowMiddleIncome,yes,yes,yes,yes,45004645.0,1400000.0,15242025.0,2755.28
USA,NAC,HighIncome,yes,yes,yes,yes,318563456.0,534000000.0,258000000.0,53114.47
XKX,ECS,LowMiddleIncome,yes,yes,yes,yes,1801800.0,217241.0,319000.0,3956.75
