country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,SpW_hazardous_waste_tons_year,MSW_generated_tons_year,gdp_inhab
LIE,ECS,HighIncome,no,yes,yes,no,36545.0,1204.0,32382.0,35895.51301587302
LTU,ECS,HighIncome,no,yes,yes,yes,2904910.0,165477.0,1300000.0,15744.19
LUX,ECS,HighIncome,yes,yes,yes,no,569604.0,237180.0,356000.0,110967.03
LVA,ECS,HighIncome,no,yes,yes,yes,1977527.0,104142.0,857000.0,14599.8
MAC,EAS,HighIncome,yes,yes,yes,yes,612167.0,3118.0,377942.0,52144.03
MAR,MEA,LowMiddleIncome,no,no,yes,yes,34318082.0,289385.0,6852000.0,3344.71
MCO,ECS,HighIncome,yes,yes,yes,yes,37783.0,312.07,46000.0,35895.51301587302
MDA,ECS,LowMiddleIncome,no,yes,yes,yes,3554108.0,418.0,3981200.0,2069.38
MDG,SSF,LowIncome,no,no,yes,yes,24894551.0,45957.0,3768759.16,416.0
MDV,SAS,MiddleUpperIncome,no,yes,yes,no,409163.0,15105.525,211505.78,8799.42
MEX,LCN,MiddleUpperIncome,yes,no,yes,yes,125890949.0,18172.49,53100000.0,10001.01
MKD,ECS,MiddleUpperIncome,yes,yes,yes,yes,2081206.0,40797.0,796585.0,5249.22
MLT,MEA,HighIncome,yes,yes,yes,yes,431874.0,36523.0,269000.0,27481.34
MNE,ECS,MiddleUpperIncome,yes,yes,yes,no,622159.0,3819.21,332000.0,7494.6
MUS,SSF,MiddleUpperIncome,no,no,yes,yes,1263473.0,17000.0,438000.0,9822.01
MYS,EAS,MiddleUpperIncome,no,yes,yes,yes,30228017.0,2918478.0,12982685.0,11381.9
NER,SSF,LowIncome,no,no,yes,yes,8842415.0,554000.0,1865645.67,916.82
NIC,LCN,LowMiddleIncome,no,no,yes,no,5737723.0,2837.0,1528816.29335,2083.66
NLD,ECS,HighIncome,yes,yes,yes,no,16939923.0,4830495.0,8855000.0,52546.63
NOR,ECS,HighIncome,yes,yes,yes,yes,5188607.0,1482000.0,2187000.0,91116.15
NPL,SAS,LowIncome,no,yes,yes,yes,28982771.0,5051.0,1768977.49,685.12
OMN,MEA,HighIncome,no,yes,yes,yes,3960925.0,1469835.0,1734885.15,18948.69
PAK,SAS,LowMiddleIncome,no,yes,no,yes,193203476.0,1538000.0,30760000.0,1179.41
PER,LCN,MiddleUpperIncome,yes,yes,yes,yes,30973354.0,660180.17927,8356711.13,6252.25
PHL,EAS,LowMiddleIncome,yes,yes,yes,yes,103320222.0,4332222.32,14631922.9,2752.11
POL,ECS,HighIncome,no,yes,yes,yes,37986412.0,1679051.0,10863000.0,15061.49
PRI,LCN,HighIncome,no,yes,yes,yes,3473181.0,4.92,4170953.0,26784.85
PRT,ECS,HighIncome,yes,yes,yes,yes,10401062.0,701228.0,4710000.0,22280.92
PSE,MEA,LowMiddleIncome,yes,yes,yes,no,4046901.0,62621.0,1387000.0,2907.71
QAT,MEA,HighIncome,yes,yes,yes,no,2109568.0,105000.0,1000990.016,80899.33
ROU,ECS,MiddleUpperIncome,yes,yes,yes,yes,19815481.0,590300.0,4895000.0,10104.08
RUS,ECS,MiddleUpperIncome,yes,yes,yes,yes,143201676.0,110000000.0,60000000.0,11553.17
SAU,MEA,HighIncome,yes,yes,yes,no,31557144.0,697000.0,16125700.584,21867.28
SGP,EAS,HighIncome,yes,yes,yes,yes,5607283.0,446870.0,7704300.0,53353.84
SLV,LCN,LowMiddleIncome,no,yes,yes,yes,6164626.0,16465.0,1648996.18,3502.01
SRB,ECS,MiddleUpperIncome,yes,yes,yes,yes,7095383.0,13475026.0,1840000.0,5821.82
SVK,ECS,HighIncome,yes,yes,yes,yes,5423801.0,375688.0,1784000.0,19299.95
SVN,ECS,HighIncome,no,yes,yes,no,2063531.0,155229.0,926000.0,24478.31
SWE,ECS,HighIncome,yes,yes,yes,no,9799186.0,2568154.0,4377000.0,57187.06
SYR,MEA,LowIncome,no,yes,yes,no,20824893.0,68000.0,4500000.0,743.6455172413795
TGO,SSF,LowIncome,no,yes,yes,no,7228915.0,1900.0,1109030.45,589.97
THA,EAS,MiddleUpperIncome,no,yes,yes,yes,68657600.0,3445000.0,26853366.0,5928.18
TKM,ECS,MiddleUpperIncome,no,yes,yes,yes,5366277.0,1000.0,500000.0,7372.59
TTO,LCN,HighIncome,yes,yes,yes,yes,1328100.0,123914.1,727874.0,16203.56
TUN,MEA,LowMiddleIncome,yes,yes,yes,yes,11143908.0,150000.0,2700000.0,4368.49
TUR,ECS,MiddleUpperIncome,no,yes,yes,yes,78271472.0,3432426.0,31283000.0,14341.26
UKR,ECS,LowMiddleIncome,yes,yes,yes,yes,45004645.0,448000000.0,15242025.0,2755.28
USA,NAC,HighIncome,yes,yes,yes,yes,318563456.0,28800000.0,258000000.0,53114.47
VEN,LCN,MiddleUpperIncome,no,no,yes,no,29893080.0,123157.0,9779093.14,7332.349814814818
VNM,EAS,LowMiddleIncome,no,yes,yes,yes,86932500.0,2995153.5,9570300.0,1887.73
XKX,ECS,LowMiddleIncome,yes,yes,yes,yes,1801800.0,495.0,319000.0,3956.75
YEM,MEA,LowIncome,no,yes,yes,no,27584213.0,21000.0,4836820.0,432.39
ZAF,SSF,MiddleUpperIncome,yes,yes,yes,no,51729345.36,1319096.0,18457232.0,8142.55
ZMB,SSF,LowMiddleIncome,no,no,yes,no,14264756.0,80000.0,2608268.0,1895.38
ZWE,SSF,LowIncome,no,no,yes,no,12500525.0,37346.0,1449752.0,1185.47
