country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,SpW_e_waste_tons_year,MSW_generated_tons_year,gdp_inhab
GRD,LCN,MiddleUpperIncome,yes,yes,yes,yes,105481.0,800.0,29536.113936927773,8827.36
GTM,LCN,MiddleUpperIncome,no,no,no,yes,16252429.0,55000.0,2756740.97135,3163.95
GUY,LCN,MiddleUpperIncome,no,yes,no,no,746556.0,5000.0,179251.5,3919.1
HKG,EAS,HighIncome,yes,yes,yes,yes,7305700.0,70000.0,5679816.465,36971.87
HND,LCN,LowMiddleIncome,no,no,yes,yes,9112867.0,1700.0,2162027.69575,2144.87
HRV,ECS,HighIncome,yes,yes,yes,yes,4203604.0,58078.0,1654000.0,14534.02
HTI,LCN,LowIncome,no,no,no,no,10847334.0,6000.0,2309852.45485,729.36
HUN,ECS,HighIncome,yes,yes,yes,yes,9843028.0,50066.0,3712000.0,14953.01
IDN,EAS,LowMiddleIncome,no,yes,yes,yes,261115456.0,1274000.0,65200000.0,3974.73
IND,SAS,LowMiddleIncome,no,yes,yes,yes,1071477855.0,1700000.0,168403239.95,2301.66
IRL,ECS,HighIncome,no,yes,yes,yes,4586897.0,212874.0,2692537.0,72458.87
IRN,MEA,MiddleUpperIncome,no,yes,yes,yes,80277428.0,630000.0,17885000.0,6733.91
IRQ,MEA,MiddleUpperIncome,no,no,no,no,36115649.0,221000.0,13140000.0,5923.68
ISL,ECS,HighIncome,no,yes,yes,no,330815.0,7600.0,525000.0,49680.0
ISR,MEA,HighIncome,no,yes,yes,no,8380100.0,120000.0,5400000.0,34344.17
ITA,ECS,HighIncome,yes,yes,yes,no,60730582.0,2800026.0,29524000.0,34260.24
JAM,LCN,MiddleUpperIncome,yes,yes,yes,yes,2881355.0,17000.0,1051694.575,4790.04
JOR,MEA,MiddleUpperIncome,no,no,yes,yes,8413464.0,43000.0,2529997.0,3662.19
JPN,EAS,HighIncome,yes,no,yes,yes,127141000.0,518978.0,43981000.0,47605.98
KAZ,ECS,MiddleUpperIncome,no,yes,yes,yes,16791425.0,147000.0,4659740.0,11214.6
KEN,SSF,LowMiddleIncome,no,no,yes,no,41350152.0,17350.0,5595099.0,1340.0
KGZ,ECS,LowMiddleIncome,no,yes,yes,yes,5956900.0,7200.0,1113300.0,1065.44
KHM,EAS,LowMiddleIncome,no,yes,yes,yes,15270790.0,14000.0,1089000.0,1113.85
KIR,EAS,LowMiddleIncome,no,yes,yes,no,114395.0,100.0,35723.8275,1685.99
KNA,LCN,HighIncome,yes,yes,yes,no,54288.0,700.0,32892.14,15810.95
KOR,EAS,HighIncome,yes,yes,yes,yes,50746659.0,570635.0,18218975.0,25734.65
KWT,MEA,HighIncome,no,yes,yes,no,2998083.0,67000.0,1750000.0,47649.55
LAO,EAS,LowMiddleIncome,no,yes,yes,yes,6663967.0,7500.0,351900.0,1666.0
LBN,MEA,MiddleUpperIncome,no,yes,no,no,5603279.0,51000.0,2040000.0,7658.26
LBY,MEA,MiddleUpperIncome,no,yes,no,no,6193501.0,70000.0,2147596.47175,5943.14
LCA,LCN,MiddleUpperIncome,yes,yes,yes,yes,177206.0,1600.0,77616.228,8407.47
LIE,ECS,HighIncome,no,yes,yes,no,36545.0,293.0,32382.0,35895.51301587302
LKA,SAS,LowMiddleIncome,yes,yes,yes,no,21203000.0,72.5,2631650.0,3768.67
LSO,SSF,LowMiddleIncome,no,no,no,no,1965662.0,1800.0,73457.0,1516.34
LTU,ECS,HighIncome,no,yes,yes,yes,2904910.0,82691.0,1300000.0,15744.19
LUX,ECS,HighIncome,yes,yes,yes,no,569604.0,7398.0,356000.0,110967.03
LVA,ECS,HighIncome,no,yes,yes,yes,1977527.0,25071.0,857000.0,14599.8
MAC,EAS,HighIncome,yes,yes,yes,yes,612167.0,11000.0,377942.0,52144.03
MAR,MEA,LowMiddleIncome,no,no,yes,yes,34318082.0,30300.0,6852000.0,3344.71
MDA,ECS,LowMiddleIncome,no,yes,yes,yes,3554108.0,6300.0,3981200.0,2069.38
MDG,SSF,LowIncome,no,no,yes,yes,24894551.0,14000.0,3768759.16,416.0
MDV,SAS,MiddleUpperIncome,no,yes,yes,no,409163.0,3003.95,211505.78,8799.42
MEX,LCN,MiddleUpperIncome,yes,no,yes,yes,125890949.0,957900.0,53100000.0,10001.01
MKD,ECS,MiddleUpperIncome,yes,yes,yes,yes,2081206.0,1220.0,796585.0,5249.22
MLI,SSF,LowIncome,no,no,no,yes,16006670.0,12000.0,1937354.44,838.51
MLT,MEA,HighIncome,yes,yes,yes,yes,431874.0,7643.0,269000.0,27481.34
MMR,EAS,LowMiddleIncome,no,yes,yes,yes,46095462.0,55000.0,4677306.52914,1615.56
MNE,ECS,MiddleUpperIncome,yes,yes,yes,no,622159.0,6200.0,332000.0,7494.6
MNG,EAS,LowMiddleIncome,no,no,yes,yes,3027398.0,14000.0,2900000.0,3906.12
MOZ,SSF,LowIncome,no,yes,yes,no,27212382.0,17000.0,2500000.0,545.56
MRT,SSF,LowMiddleIncome,no,no,yes,no,3506288.0,5100.0,454000.0,1589.76
MUS,SSF,MiddleUpperIncome,no,no,yes,yes,1263473.0,11000.0,438000.0,9822.01
MWI,SSF,LowIncome,no,no,no,no,16577147.0,9500.0,1297844.48,525.44
MYS,EAS,MiddleUpperIncome,no,yes,yes,yes,30228017.0,280000.0,12982685.0,11381.9
NAM,SSF,MiddleUpperIncome,no,no,no,no,1559983.0,14000.0,256729.0,9583.55
NER,SSF,LowIncome,no,no,yes,yes,8842415.0,7900.0,1865645.67,916.82
NGA,SSF,LowMiddleIncome,no,no,yes,yes,154402181.0,277000.0,27614830.07185,2958.35
NIC,LCN,LowMiddleIncome,no,no,yes,no,5737723.0,10800.0,1528816.29335,2083.66
NLD,ECS,HighIncome,yes,yes,yes,no,16939923.0,534410.0,8855000.0,52546.63
NOR,ECS,HighIncome,yes,yes,yes,yes,5188607.0,150000.0,2187000.0,91116.15
NPL,SAS,LowIncome,no,yes,yes,yes,28982771.0,23000.0,1768977.49,685.12
NZL,EAS,HighIncome,yes,yes,yes,yes,4692700.0,95000.0,3405000.0,37532.46
OMN,MEA,HighIncome,no,yes,yes,yes,3960925.0,59000.0,1734885.15,18948.69
PAK,SAS,LowMiddleIncome,no,yes,no,yes,193203476.0,301000.0,30760000.0,1179.41
PAN,LCN,HighIncome,no,no,yes,no,3969249.0,3200.0,1472262.2151499996,11284.01
PER,LCN,MiddleUpperIncome,yes,yes,yes,yes,30973354.0,182000.0,8356711.13,6252.25
PHL,EAS,LowMiddleIncome,yes,yes,yes,yes,103320222.0,290000.0,14631922.9,2752.11
PLW,EAS,HighIncome,no,no,yes,no,21503.0,200.0,9426.7455,10477.98
PNG,EAS,LowMiddleIncome,no,yes,yes,yes,7755785.0,7000.0,1000000.0,2499.97
POL,ECS,HighIncome,no,yes,yes,yes,37986412.0,224452.0,10863000.0,15061.49
PRI,LCN,HighIncome,no,yes,yes,yes,3473181.0,946.44,4170953.0,26784.85
PRT,ECS,HighIncome,yes,yes,yes,yes,10401062.0,170078.0,4710000.0,22280.92
PRY,LCN,MiddleUpperIncome,no,no,yes,no,6639119.0,34200.0,1818501.3648,3976.52
QAT,MEA,HighIncome,yes,yes,yes,no,2109568.0,29000.0,1000990.016,80899.33
ROU,ECS,MiddleUpperIncome,yes,yes,yes,yes,19815481.0,132268.0,4895000.0,10104.08
RUS,ECS,MiddleUpperIncome,yes,yes,yes,yes,143201676.0,1392000.0,60000000.0,11553.17
RWA,SSF,LowIncome,no,no,no,no,11917508.0,5900.0,4384969.0,738.83
SAU,MEA,HighIncome,yes,yes,yes,no,31557144.0,508000.0,16125700.584,21867.28
SDN,SSF,LowMiddleIncome,no,no,no,no,38647803.0,51000.0,2831291.0,1970.34
